Alignment_name	mafft_Q-score	D2_Q-score	D2S_Q-score	D2St_Q-score	mafft_TC-score	D2_TC-score	D2S_TC-score	D2St_TC-score
renamed_headersRV11_BB11025.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BBS11002.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BBS11008.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BBS11025.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BBS12009.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BBS12039.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BB11001.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BB11002.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BB11003.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BB11004.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BB11005.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BB11006.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BB11007.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BB11008.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BB11009.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BB11010.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BB11011.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BB11012.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BB11013.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BB11014.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BB11015.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BB11016.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BB11017.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BB11018.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BB11019.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BB11020.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BB11021.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BB11022.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BB11023.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BB11024.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BB11026.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BB11027.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BB11028.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BB11029.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BB11030.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BB11031.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BB11032.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BB11033.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BB11034.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BB11035.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BB11036.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BB11037.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BB11038.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BBS11001.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BBS11003.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BBS11004.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BBS11005.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BBS11006.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BBS11007.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BBS11009.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BBS11010.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BBS11011.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BBS11012.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BBS11013.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BBS11014.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BBS11015.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BBS11016.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BBS11017.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BBS11018.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BBS11019.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BBS11020.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BBS11021.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BBS11022.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BBS11023.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BBS11024.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BBS11026.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BBS11027.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BBS11028.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BBS11029.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BBS11030.fasta	0	0	0	0	0	0	0	0
